company_name,location
上海市基础工程集团有限公司,上海市杨浦区民星路231号
上海创业接力科技金融集团有限公司,上海市杨浦区国定东路200号5号楼506-2室
上海复旦微电子集团股份有限公司,上海市邯郸路220号
上海网波软件股份有限公司,上海市杨浦区中山北二路1121号313B室
上海复洁环保科技股份有限公司,上海市杨浦区国权北路1688弄A7幢801室
上海四维文化传媒股份有限公司,上海市杨浦区铁岭路32号1617室
上海泽鑫电力科技股份有限公司,上海市杨浦区国定路323号1101-87室
上海群康沥青科技股份有限公司,上海市杨浦区黄兴路1800号709室
上海光和光学制造股份有限公司,上海市杨浦区翔殷路128号11号楼C座215-08室
上海花千树信息科技有限公司,上海市杨浦区控江路1142号23幢5114-54室
上海晏鼠计算机技术股份有限公司,上海市杨浦区国定路335号3201-3室
上海智子信息科技股份有限公司,上海市杨浦区国泰路11号1号展示厅A156室
卡替（上海）生物技术有限公司,上海市杨浦区黄兴路2218号2603-05室
上海市政工程设计研究总院（集团）有限公司,上海市杨浦区中山北二路901号
华域汽车车身零件（上海）有限公司,上海市翔殷路999号
上海博士高环保设备工程有限公司,上海市杨浦区控江路1555号B座705室-1
小红书科技有限公司,上海市杨浦区黄兴路2005弄2号(B楼)608-4室
上海爱投金融信息服务有限公司,上海市杨浦区武东路188号13002-1室
上海公路桥梁（集团）有限公司,上海市杨浦区国科路36号
上海电站辅机厂有限公司,上海市杨浦区隆昌路621号
上海瀚海检测技术股份有限公司,上海市杨浦区翔殷路20号六号楼201、202室
汉海信息技术（上海）有限公司,上海市杨浦区黄兴路221号D2座(8幢)102室
上海京东到家元信信息技术有限公司,上海市杨浦区杨树浦路1088号2201单元
上海金茂建筑装饰有限公司,上海市杨浦区铁岭路32号16层1601、1602室(集中登记地)
上海东海制药股份有限公司,上海市杨浦区共青路486号
上海兔小二科技有限公司,上海市杨浦区凤城路1号123幢418室
上海开普天岩土科技集团有限公司,上海市杨浦区国定支路26号3397室
上海盛世华天环境科技有限公司,上海市杨浦区长阳路1616号1幢2楼202-A12室
达疆网络科技（上海）有限公司,上海市杨浦区杨树浦路1088号2205单元
孚尧能源科技（上海）有限公司,上海市杨浦区杨树浦路1062号1701、1702室
上海沃特奇能源科技股份有限公司,上海市杨浦区隆昌路588号2号楼1001、1002、1003、1005室
上海精智实业股份有限公司,上海市杨浦区翔殷路128号11号楼D座101室
上海众启建筑科技集团有限公司,上海市杨浦区政通路100弄11号(集中登记地)
上海源慧信息科技股份有限公司,上海市杨浦区逸仙路13号25幢801室
上海电力设计院有限公司,上海市波阳路16号8号楼232室
上海工具厂有限公司,上海市军工路1060号
